INSERT: Key = 1, Value = John Doe
INSERT: Key = 2, Value = Alice Smith
DELETE: Key = 1, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
INSERT: Key = 0, Value = 
